doctor_name,doctor_type,experience_years,location,hospital,fees,city
Dr. Anil Agadi,General Surgeon,33,"Wilson Garden , Bangalore",SRV Agadi Hospital,600.0,Bangalore
Dr. Rajasekhar,General Surgeon,46,"BTM Layout 2nd Stage , Bangalore",Chirag Global Hospital,3000.0,Bangalore
Dr. Eashwernath P S,General Physician,42,"HSR Layout , Bangalore",Greenview Medical Center,1500.0,Bangalore
Dr. Tulip Chamany,General Surgeon,35,"Arekere , Bangalore",Camry Hospitals,600.0,Bangalore
Dr. Shabeer Ahmed,Laparoscopic Surgeon,40,"Sivanchetti Gardens , Bangalore",Q Medical Centre and Hospital,650.0,Bangalore
Dr. Arun Kumar,General Surgeon,36,"HSR Layout , Bangalore",Greenview Medical Center,1500.0,Bangalore
Dr. Aditya S Chowti,General Physician,18,"Kalyan Nagar , Bangalore",Trilife Hospital,1200.0,Bangalore
Dr. Raghavendra R,Pain Management Specialist,26,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Ravishankar Reddy C R,General Physician,33,"Koramangala 1 Block , Bangalore",Marvel Multispeciality Hospital,1000.0,Bangalore
Dr. Ranga Naik,General Physician,49,"Koramangala 1 Block , Bangalore",Marvel Multispeciality Hospital,1000.0,Bangalore
Dr. Roopa Bhushan,GastroIntestinal Surgeon,25,"Sampangiramnagar , Bangalore",Trustwell Hospitals,800.0,Bangalore
Dr. Bhaskar Pai.K,General Surgeon,40,"Seshadripuram , Bangalore",Apollo Hospitals,800.0,Bangalore
Dr. Devika G,General Physician,15,"Magrath Road , Bangalore",HOSMAT Hospital,700.0,Bangalore
Dr. Aparna Verma,General Physician,25,"HSR Layout , Bangalore",Greenview Medical Center,1000.0,Bangalore
Dr. Ramesh Makam,General Surgeon,37,"Basavanagudi , Bangalore",A V Hospital,1000.0,Bangalore
Dr. Vamsi Krishna M,General Surgeon,28,"Whitefield , Bangalore",Medicover Hospitals - Bangalore,600.0,Bangalore
Dr. Abdul Razack.G.S,Laparoscopic Surgeon,24,"Koramangala 1 Block , Bangalore",Marvel Multispeciality Hospital,1000.0,Bangalore
Dr. Vinay Bhat,GastroIntestinal Surgeon,21,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Shiva Kumar,General Surgeon,25,"Bommanahalli , Bangalore",Curemaxx Hospitals,750.0,Bangalore
Dr. Wasim M Dar,General Surgeon,19,"Sivanchetti Gardens , Bangalore",Q Medical Centre and Hospital,600.0,Bangalore
Dr. Mahesha C,General Surgeon,30,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. M Sri Sai Prasad,General Physician,30,"Belathur , Bangalore",Aaxis Hospitals,650.0,Bangalore
Dr. Suhas S,Plastic Surgeon,16,"Wilson Garden , Bangalore",SRV Agadi Hospital,800.0,Bangalore
Dr. K S Harshith,Internal Medicine,25,"JP Nagar , Bangalore",Aster RV Hospital,1150.0,Bangalore
Dr. Vijay C R Reddy,General Surgeon,31,"Bellandur , Bangalore",Nelivigi Multispeciality and Urology Hospital,800.0,Bangalore
Dr. Sudhindra,General Physician,30,"BTM Layout , Bangalore",Marigold Hospital,700.0,Bangalore
Dr. D Sandeep,General Surgeon,16,"Kasturi nagar , Bangalore",Columbiaa Hospital,650.0,Bangalore
Dr. Basanth Kumar.S,General Physician,23,"Kalyan Nagar , Bangalore",Trilife Hospital,1000.0,Bangalore
Dr. Poovamma,General Surgeon,21,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Mohammed Farooq Khateeb,Laparoscopic Surgeon,23,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Ramraj V N,Laparoscopic Surgeon,21,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Abhilasha Narayan,Gynecologist/Obstetrician,18,"Sampangiramnagar , Bangalore",HCG  - The Specialist in Cancer Care,1360.0,Bangalore
Dr. Raja Selvarajan,General Physician,20,"Whitefield , Bangalore",Medicover Hospitals - Bangalore,600.0,Bangalore
Dr. Vivekanand N Bhat,General Surgeon,34,"Madhava Nagar , Bangalore",Even Hospitals,300.0,Bangalore
Dr. Venur Ajith Kumar,General Physician,50,"Arekere , Bangalore",Camry Hospitals,800.0,Bangalore
Dr. Marina Thomas,General Surgeon,18,"Electronics City , Bangalore",Kauvery Hospitals,1000.0,Bangalore
Dr. Prabhakar B,General Surgeon,24,"Whitefield , Bangalore",Aster Whitefield Hospital,800.0,Bangalore
Dr. S S Kumar,Internal Medicine,52,"Seshadripuram , Bangalore",Apollo Hospitals,800.0,Bangalore
Dr. Raghu B M,Gastroenterologist,20,"Yelahanka , Bangalore",K K Hospital,1000.0,Bangalore
Dr. Deviprasad Hegde,General Physician,31,"Electronics City , Bangalore",Kauvery Hospitals,1000.0,Bangalore
Dr. Ravindra Padmakar Deo,General Surgeon,47,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Suhel Pasha,General Physician,25,"HSR Layout , Bangalore",Greenview Medical Center,1000.0,Bangalore
Dr. Munireddy M V,General Surgeon,21,"Koramangala 1 Block , Bangalore",Marvel Multispeciality Hospital,1000.0,Bangalore
Dr. Nithin Prakash,General Physician,23,"HBR Layout , Bangalore",Altius Hospitals,700.0,Bangalore
Dr. Prabhu N Nesargikar,General Surgeon,25,"Sampangiramnagar , Bangalore",HCG  - The Specialist in Cancer Care,1360.0,Bangalore
Dr. Sumayya Tasneem,General Physician,17,"Kasturi nagar , Bangalore",Columbiaa Hospital,650.0,Bangalore
Dr. Sonal Asthana,General Surgeon,32,"Hebbal , Bangalore",Aster CMI Hospital,1200.0,Bangalore
Dr. Chandan Juneja,General Surgeon,38,"Wilson Garden , Bangalore",SRV Agadi Hospital,800.0,Bangalore
Dr. Chethan K,General Surgeon,27,"HBR Layout , Bangalore",Altius Hospitals,700.0,Bangalore
Dr. Srinivas Rao,General Surgeon,30,"Belathur , Bangalore",Aaxis Hospitals,1000.0,Bangalore
Dr. Vipender Sabherwal,General Surgeon,28,"Kilokri , Delhi",Jeewan Hospital Gate No. 1,700.0,Delhi
Dr. Rajeev Gupta,Internal Medicine,34,"Model Town , Delhi",Yatharth Super Speciality Hospital,1500.0,Delhi
Dr. Vivek Mittal,Cardiologist,29,"Preet Vihar , Delhi",Metro Hospital and Cancer Institute,1500.0,Delhi
Dr. Kumar Manish,Bariatric Surgeon,32,"Saket , Delhi",Sawan Neelu Angels Nursing Home,1000.0,Delhi
Dr. Sanjeev Kumar Gupta,Laparoscopic Surgeon,29,"Greater Kailash Part 1 , Delhi",SCI International Hospital,800.0,Delhi
Dr. Vijay Hangloo,Laparoscopic Surgeon,36,"Saket , Delhi",Sawan Neelu Angels Nursing Home,1000.0,Delhi
Dr. R S Gandhi,General Surgeon,37,"Kirti Nagar , Delhi",Kalra  Hospitals,1000.0,Delhi
Dr. Siddarth Sain,Ophthalmologist,21,"South Extension 2 , Delhi",Agarwal Eye Hospital,800.0,Delhi
Dr. Rakesh Sharma,General Physician,38,"Karol Bagh , Delhi",Jeewan Mala Hospital,1000.0,Delhi
Dr. S.K. Tyagi,Internal Medicine,43,"Tilak Nagar , Delhi",Tyagi Nursing Home,1500.0,Delhi
Dr. Ajit Kumar Talukdar,Internal Medicine,41,"Kilokri , Delhi",Jeewan Hospital Gate No. 1,700.0,Delhi
Dr. Vinay Sabharwal,General Surgeon,50,"Karol Bagh , Delhi",Jeewan Mala Hospital,1000.0,Delhi
Dr. Sachin Ambekar,Laparoscopic Surgeon,24,"Nehru Place , Delhi",MASSH-Minimal Access Smart Surgery Hospital,1200.0,Delhi
Dr. Mohit Jain,General Surgeon,26,"Sagarpur , Delhi",Ansari Hospital,500.0,Delhi
Dr. S K Bakshi,General Physician,44,"Safdarjung Enclave , Delhi",Aashlok Hospital,1500.0,Delhi
Dr. Himanshu Shekhar,General Physician,20,"Greater Kailash Part 1 , Delhi",SCI International Hospital,1000.0,Delhi
Dr. Raman Sharma,General Surgeon,19,"Pusa Road , Delhi",Sir Ganga Ram City Hospital,1200.0,Delhi
Dr. Shiv Chopra,General Surgeon,35,"Chattarpur , Delhi",Cronus Multispeciality Hospital,1000.0,Delhi
Dr. Vipin Kumar Grover,General Surgeon,41,"GTB Nagar , Delhi",Nulife Hospital & Maternity Centre,600.0,Delhi
Dr. Vidyasagar Chaturvedi,General Surgeon,16,"Kailash Colony , Delhi",SSB Multispeciality Hospital,1000.0,Delhi
Dr. Avinder Sabharwal,Laparoscopic Surgeon,28,"Maharani Bagh , Delhi",Jeewan hospital gate no 2,800.0,Delhi
Dr. Piyush Sharma,General Surgeon,16,"Safdarjung Enclave , Delhi",Aashlok Hospital,1200.0,Delhi
Dr. Uday Nath Shahi,General Physician,31,"Gulabi Bagh , Delhi",NKS Super Speciality Hospital,350.0,Delhi
Dr. Ashok Kumar Kaushik,General Physician,57,"Naraina Vihar , Delhi",Kapoor Medical Centre,1400.0,Delhi
Dr. Chetan Kumar Gupta,General Physician,27,"Chattarpur , Delhi",Cronus Multispeciality Hospital,800.0,Delhi
Dr. Sandeep Jain,General Surgeon,27,"Karkardooma , Delhi",Garg Hospital,800.0,Delhi
Dr. Chandan Bhattacharya,General Physician,37,"Jasola , Delhi",ORL International Hospital,1000.0,Delhi
Dr. Sunil Garg,General Surgeon,48,"Siri Fort Road , Delhi",Sama Hospital,1200.0,Delhi
Dr. Sushil Kumar,General Surgeon,35,"Chattarpur , Delhi",Cronus Multispeciality Hospital,1000.0,Delhi
