Source,Entry_ID,Company,Location,Level,Years_Experience,Salary_Total,Salary_Base,Salary_Equity,Salary_Bonus,Status
levels.fyi_actual,2,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
levels.fyi_actual,3,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
levels.fyi_actual,4,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
levels.fyi_actual,5,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
levels.fyi_actual,6,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
levels.fyi_actual,7,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
levels.fyi_actual,8,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
levels.fyi_actual,9,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
levels.fyi_actual,10,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
levels.fyi_actual,11,"******

*****, ** | ****/**/**",***,"**
**","$***,***",,Hidden,Hidden,Hidden,Data_Masked_By_Website
Generated_from_public_stats,51,Canva,"Gurgaon, India",L4,2-3,"₹11,697,885","₹11,424,205","₹1,094,720",₹0,Generated_for_demo
Generated_from_public_stats,52,Microsoft,"Gurgaon, India",Senior,1-2,"₹13,610,935","₹13,067,981","₹2,171,817",₹0,Generated_for_demo
Generated_from_public_stats,53,Asana,"Chennai, India",L3,0-1,"₹14,438,022","₹14,105,438","₹1,330,338",₹0,Generated_for_demo
Generated_from_public_stats,54,Asana,"Kolkata, India",L4,3-5,"₹13,201,995","₹12,592,171","₹2,439,299",₹0,Generated_for_demo
Generated_from_public_stats,55,Adobe,"Chennai, India",L5,3-5,"₹11,728,027","₹11,514,175","₹855,408",₹0,Generated_for_demo
Generated_from_public_stats,56,Revolut,"Bangalore, India",L5,5-10,"₹15,205,561","₹14,687,618","₹2,071,772",₹0,Generated_for_demo
Generated_from_public_stats,57,Airbnb,"Noida, India",L3,0-1,"₹13,441,209","₹12,912,720","₹2,113,959",₹0,Generated_for_demo
Generated_from_public_stats,58,Uber,"Chennai, India",L4,5-10,"₹15,122,694","₹14,600,308","₹2,089,547",₹0,Generated_for_demo
Generated_from_public_stats,59,Meta,"Kolkata, India",L6,0-1,"₹11,545,355","₹11,319,511","₹903,378",₹0,Generated_for_demo
Generated_from_public_stats,60,Canva,"Chennai, India",L3,5-10,"₹13,146,386","₹12,846,401","₹1,199,941",₹0,Generated_for_demo
Generated_from_public_stats,61,Netflix,"Noida, India",L3,0-1,"₹16,046,598","₹15,600,378","₹1,784,881",₹0,Generated_for_demo
Generated_from_public_stats,62,PayPal,"Noida, India",L4,0-1,"₹16,363,090","₹15,770,498","₹2,370,369",₹0,Generated_for_demo
Generated_from_public_stats,63,Slack,"Mumbai, India",Staff,5-10,"₹14,331,803","₹13,988,101","₹1,374,808",₹0,Generated_for_demo
Generated_from_public_stats,64,Atlassian,"Mumbai, India",L5,2-3,"₹14,185,029","₹13,701,279","₹1,935,000",₹0,Generated_for_demo
Generated_from_public_stats,65,Slack,"Hyderabad, India",L3,1-2,"₹14,294,141","₹14,067,100","₹908,167",₹0,Generated_for_demo
Generated_from_public_stats,66,Nvidia,"Gurgaon, India",L3,0-1,"₹16,797,541","₹16,390,038","₹1,630,014",₹0,Generated_for_demo
Generated_from_public_stats,67,PayPal,"Noida, India",L4,1-2,"₹11,746,458","₹11,301,378","₹1,780,321",₹0,Generated_for_demo
Generated_from_public_stats,68,Airbnb,"Pune, India",Staff,1-2,"₹14,077,368","₹13,531,847","₹2,182,084",₹0,Generated_for_demo
Generated_from_public_stats,69,Slack,"Bangalore, India",L5,0-1,"₹15,168,375","₹14,589,287","₹2,316,353",₹0,Generated_for_demo
Generated_from_public_stats,70,Intercom,"Chennai, India",L6,1-2,"₹12,204,537","₹11,640,181","₹2,257,425",₹0,Generated_for_demo
Generated_from_public_stats,71,Adobe,"Hyderabad, India",L5,5-10,"₹15,343,377","₹15,088,893","₹1,017,938",₹0,Generated_for_demo
Generated_from_public_stats,72,PayPal,"Pune, India",L6,2-3,"₹16,844,717","₹16,332,340","₹2,049,511",₹0,Generated_for_demo
Generated_from_public_stats,73,Revolut,"Pune, India",L3,3-5,"₹12,031,549","₹11,683,902","₹1,390,589",₹0,Generated_for_demo
Generated_from_public_stats,74,Microsoft,"Chennai, India",L4,3-5,"₹15,899,321","₹15,452,919","₹1,785,610",₹0,Generated_for_demo
Generated_from_public_stats,75,Square,"Pune, India",L4,3-5,"₹15,444,852","₹15,170,750","₹1,096,408",₹0,Generated_for_demo
Generated_from_public_stats,76,Amazon,"Gurgaon, India",L5,2-3,"₹15,406,506","₹14,913,662","₹1,971,378",₹0,Generated_for_demo
Generated_from_public_stats,77,Monday.com,"Bangalore, India",L3,1-2,"₹12,226,766","₹11,631,119","₹2,382,588",₹0,Generated_for_demo
Generated_from_public_stats,78,Figma,"Gurgaon, India",L6,1-2,"₹14,687,368","₹14,077,345","₹2,440,092",₹0,Generated_for_demo
Generated_from_public_stats,79,Slack,"Hyderabad, India",L5,2-3,"₹11,885,928","₹11,527,439","₹1,433,959",₹0,Generated_for_demo
Generated_from_public_stats,80,Canva,"Mumbai, India",L4,0-1,"₹14,228,240","₹13,682,330","₹2,183,640",₹0,Generated_for_demo
Generated_from_public_stats,81,Asana,"Noida, India",L3,3-5,"₹13,912,657","₹13,571,500","₹1,364,631",₹0,Generated_for_demo
Generated_from_public_stats,82,Uber,"Chennai, India",Senior,3-5,"₹11,719,580","₹11,345,298","₹1,497,130",₹0,Generated_for_demo
Generated_from_public_stats,83,Canva,"Gurgaon, India",L3,1-2,"₹12,051,903","₹11,779,119","₹1,091,138",₹0,Generated_for_demo
Generated_from_public_stats,84,PayPal,"Chennai, India",L4,5-10,"₹16,158,463","₹15,604,393","₹2,216,282",₹0,Generated_for_demo
Generated_from_public_stats,85,Wise,"Noida, India",L3,1-2,"₹11,765,085","₹11,318,412","₹1,786,694",₹0,Generated_for_demo
Generated_from_public_stats,86,Wise,"Bangalore, India",Staff,0-1,"₹11,940,224","₹11,548,253","₹1,567,884",₹0,Generated_for_demo
Generated_from_public_stats,87,Intel,"Bangalore, India",L3,3-5,"₹15,108,753","₹14,601,124","₹2,030,517",₹0,Generated_for_demo
Generated_from_public_stats,88,Zapier,"Noida, India",L4,3-5,"₹14,650,377","₹14,098,849","₹2,206,114",₹0,Generated_for_demo
Generated_from_public_stats,89,Monzo,"Gurgaon, India",Senior,5-10,"₹11,508,244","₹11,171,907","₹1,345,348",₹0,Generated_for_demo
Generated_from_public_stats,90,Amazon,"Kolkata, India",L3,5-10,"₹16,248,593","₹15,832,800","₹1,663,172",₹0,Generated_for_demo
Generated_from_public_stats,91,Google,"Pune, India",Senior,3-5,"₹14,661,782","₹14,376,479","₹1,141,212",₹0,Generated_for_demo
Generated_from_public_stats,92,Stripe,"Hyderabad, India",Senior,5-10,"₹16,486,749","₹16,066,590","₹1,680,637",₹0,Generated_for_demo
Generated_from_public_stats,93,Intel,"Mumbai, India",L4,0-1,"₹15,059,471","₹14,799,574","₹1,039,590",₹0,Generated_for_demo
Generated_from_public_stats,94,Salesforce,"Kolkata, India",L3,5-10,"₹16,334,500","₹16,071,434","₹1,052,267",₹0,Generated_for_demo
Generated_from_public_stats,95,Stripe,"Kolkata, India",L5,5-10,"₹14,925,775","₹14,319,168","₹2,426,428",₹0,Generated_for_demo
Generated_from_public_stats,96,Zapier,"Noida, India",L5,2-3,"₹14,907,570","₹14,426,228","₹1,925,370",₹0,Generated_for_demo
Generated_from_public_stats,97,Stripe,"Hyderabad, India",L5,1-2,"₹14,706,248","₹14,290,986","₹1,661,049",₹0,Generated_for_demo
Generated_from_public_stats,98,Figma,"Noida, India",L6,2-3,"₹16,583,434","₹16,200,163","₹1,533,084",₹0,Generated_for_demo
Generated_from_public_stats,99,Adobe,"Kolkata, India",L4,5-10,"₹13,787,554","₹13,561,762","₹903,168",₹0,Generated_for_demo
Generated_from_public_stats,100,Salesforce,"Kolkata, India",Senior,0-1,"₹13,013,250","₹12,427,400","₹2,343,402",₹0,Generated_for_demo
